chr	start	stop
ENSG00000184007	chr1	31906421	31944856
ENSG00000121774	chr1	32013868	32060850
ENSG00000121775	chr1	32072031	32102866
ENSG00000025800	chr1	32108056	32176563
ENSG00000084652	chr1	32179675	32198285
ENSG00000160055	chr1	32214472	32222359
ENSG00000084623	chr1	32221928	32231604
ENSG00000116478	chr1	32292083	32333635
ENSG00000175130	chr1	32333839	32336233
ENSG00000160058	chr1	32365103	32394731
ENSG00000160062	chr1	32539427	32605941
ENSG00000176261	chr1	32600172	32650903
ENSG00000162521	chr1	32651142	32686211
ENSG00000162520	chr1	32679906	32703596
ENSG00000162522	chr1	32741830	32774970
ENSG00000134684	chr1	32775237	32818153
ENSG00000116497	chr1	32816767	32858875
ENSG00000121900	chr1	32894594	32901438
ENSG00000116514	chr1	32936445	32964685
ENSG00000004455	chr1	33007940	33080996
ENSG00000160094	chr1	33256492	33300719
ENSG00000134686	chr1	33323623	33431052
ENSG00000163866	chr1	34712737	34859755
ENSG00000163867	chr1	34986165	35031945
ENSG00000116560	chr1	35176378	35193145
ENSG00000146463	chr1	35268709	35422058
ENSG00000142687	chr1	35433492	35557950
ENSG00000020129	chr1	35557473	35567274
ENSG00000126067	chr1	35599541	35641526
ENSG00000134698	chr1	35808016	35857890
ENSG00000092847	chr1	35869808	35930532
ENSG00000126070	chr1	35930718	36072500
ENSG00000116863	chr1	36088892	36093932
ENSG00000054116	chr1	36136570	36156053
ENSG00000116871	chr1	36155579	36180849
ENSG00000054118	chr1	36224432	36305357
ENSG00000142694	chr1	36322031	36324154
ENSG00000196182	chr1	36339624	36385924
ENSG00000181817	chr1	36391238	36397908
ENSG00000116885	chr1	36415827	36450451
ENSG00000116898	chr1	36455718	36464384
ENSG00000233621	chr1	37350934	37474411
ENSG00000163874	chr1	37474580	37484377
ENSG00000163875	chr1	37492575	37514774
ENSG00000163877	chr1	37534449	37554293
ENSG00000163879	chr1	37556919	37566857
ENSG00000134697	chr1	37566816	37595937
ENSG00000116922	chr1	37681570	37692249
ENSG00000185090	chr1	37793802	37801137
ENSG00000196449	chr1	37802945	37808208
ENSG00000197982	chr1	37806979	37809454
ENSG00000188786	chr1	37809574	37859592
ENSG00000183431	chr1	37956975	37990075
ENSG00000183520	chr1	38009258	38024820
ENSG00000116954	chr1	38838198	38859772
ENSG00000214114	chr1	38862493	38873368
ENSG00000174574	chr1	38991276	39006059
ENSG00000168653	chr1	39026318	39034636
ENSG00000127603	chr1	39081316	39487177
ENSG00000090621	chr1	39560816	39576790
ENSG00000084072	chr1	39692182	39763914
ENSG00000043514	chr1	39838110	39883511
ENSG00000116990	chr1	39895426	39902256
ENSG00000131236	chr1	40040233	40072649
ENSG00000131238	chr1	40071461	40097727
ENSG00000259943	chr1	40256427	40257967
ENSG00000084073	chr1	40258236	40294180
ENSG00000049089	chr1	40300489	40317813
ENSG00000084070	chr1	40344850	40423326
ENSG00000066136	chr1	40691648	40771603
ENSG00000179862	chr1	40861054	40862363
ENSG00000010803	chr1	41027200	41242154
ENSG00000198815	chr1	42176539	42335877
ENSG00000127125	chr1	42456117	42473385
ENSG00000171960	chr1	42658423	42676758
ENSG00000065978	chr1	42682418	42703805
ENSG00000117385	chr1	42746335	42767084
ENSG00000164008	chr1	42767249	42779491
ENSG00000177868	chr1	42807052	42817397
ENSG00000164010	chr1	42817122	42844991
ENSG00000164011	chr1	42846573	42852477
ENSG00000117394	chr1	42925375	42958868
ENSG00000186973	chr1	43145153	43156396
ENSG00000117395	chr1	43164175	43270936
ENSG00000179178	chr1	43269983	43274002
ENSG00000253313	chr1	43281877	43285617
ENSG00000066322	chr1	43363398	43368074
ENSG00000159479	chr1	43383917	43389808
ENSG00000198198	chr1	43389882	43454247
ENSG00000178922	chr1	43451003	43453989
ENSG00000142949	chr1	43525187	43623666
ENSG00000066135	chr1	43650149	43705518
ENSG00000126091	chr1	43705824	43931165
ENSG00000117408	chr1	43946950	43968022
ENSG00000132768	chr1	43970000	43973369
ENSG00000117410	chr1	43974487	43978295
ENSG00000117411	chr1	43978943	43991170
ENSG00000159214	chr1	43991359	43996528
ENSG00000178028	chr1	44213455	44220681
ENSG00000117419	chr1	44221070	44355260
ENSG00000187147	chr1	44405194	44651724
ENSG00000126106	chr1	44635238	44674481
ENSG00000142937	chr1	44775251	44778779
ENSG00000070785	chr1	44850522	44986722
ENSG00000126107	chr1	45002540	45011324
ENSG00000126088	chr1	45010950	45015575
ENSG00000132773	chr1	45340052	45343973
ENSG00000070759	chr1	45343883	45491163
ENSG00000132763	chr1	45500300	45513382
ENSG00000117450	chr1	45511036	45523047
ENSG00000117448	chr1	45550543	45570049
ENSG00000132780	chr1	45583846	45618904
ENSG00000159592	chr1	45627304	45688113
ENSG00000159596	chr1	45688181	45694436
ENSG00000086015	chr1	45786987	46036122
ENSG00000117461	chr1	46040140	46133036
ENSG00000117472	chr1	46175073	46185962
ENSG00000085998	chr1	46188682	46220305
ENSG00000132128	chr1	46261196	46303608
ENSG00000173660	chr1	46303698	46316776
ENSG00000117481	chr1	46340177	46365152
ENSG00000117480	chr1	46394317	46413848
ENSG00000079277	chr1	46557408	46616843
ENSG00000123472	chr1	46632737	46673867
ENSG00000159658	chr1	46674659	46719146
ENSG00000162366	chr1	47183582	47191044
ENSG00000162368	chr1	47333797	47378839
ENSG00000185104	chr1	50437028	50960267
ENSG00000123091	chr1	51236273	51273447
ENSG00000085831	chr1	51287258	51345116
ENSG00000085832	chr1	51354263	51519266
ENSG00000117859	chr1	51577179	51798427
ENSG00000078618	chr1	51789191	51878937
ENSG00000169213	chr1	51907956	51990700
ENSG00000117862	chr1	52020131	52055191
ENSG00000134717	chr1	52056199	52090716
ENSG00000157077	chr1	52142094	52346686
ENSG00000154222	chr1	52345723	52366193
ENSG00000134748	chr1	52404602	52420836
ENSG00000134744	chr1	52408282	52553487
ENSG00000116157	chr1	52602371	52609051
ENSG00000162377	chr1	52684449	52698347
ENSG00000162378	chr1	52726453	52827336
ENSG00000121310	chr1	52895910	52927212
ENSG00000116171	chr1	52927276	53051698
ENSG00000174348	chr1	53062052	53085501
ENSG00000157184	chr1	53196792	53214197
ENSG00000162384	chr1	53214099	53220634
ENSG00000162385	chr1	53226900	53238518
ENSG00000058804	chr1	53765478	53838463
ENSG00000058799	chr1	53851719	53889798
ENSG00000081870	chr1	53916574	53945929
ENSG00000116212	chr1	53946085	53968168
ENSG00000116209	chr1	54026681	54053504
ENSG00000116221	chr1	54184041	54225464
ENSG00000157216	chr1	54225432	54413479
ENSG00000006555	chr1	54779712	54801323
ENSG00000116133	chr1	54849627	54887195
ENSG00000162402	chr1	55066359	55215364
ENSG00000162407	chr1	56494761	56645301
ENSG00000162409	chr1	56645314	56715335
ENSG00000187889	chr1	56718789	56819696
ENSG00000162600	chr1	58415384	58546802
ENSG00000184292	chr1	58575433	58577252
ENSG00000162601	chr1	58643440	58700077
ENSG00000177606	chr1	58780791	58784047
ENSG00000237352	chr1	58933643	59240555
ENSG00000172456	chr1	59296638	59810647
ENSG00000134709	chr1	59814786	59876322
ENSG00000162599	chr1	60865259	61462788
ENSG00000162604	chr1	61681046	61725423
ENSG00000132849	chr1	61742406	62178675
ENSG00000162607	chr1	62436297	62451804
ENSG00000116641	chr1	62454298	62688386
ENSG00000125703	chr1	62784132	62865516
ENSG00000088035	chr1	63367575	63438553
ENSG00000142856	chr1	63440770	63593721
ENSG00000079739	chr1	63593411	63660245
ENSG00000162437	chr1	64745095	64833232
ENSG00000162434	chr1	64833229	65067754
ENSG00000162433	chr1	65147549	65232145
ENSG00000213625	chr1	65420587	65436007
ENSG00000184588	chr1	65792514	66374579
ENSG00000198160	chr1	66924895	66988619
ENSG00000116704	chr1	66999350	67054148
ENSG00000142864	chr1	67407810	67430415
ENSG00000116717	chr1	67685201	67688334
ENSG00000172380	chr1	67701475	67833467
ENSG00000116729	chr1	68098473	68233120
ENSG00000024526	chr1	68474152	68497221
ENSG00000066557	chr1	70144805	70205579
ENSG00000116754	chr1	70205682	70253052
ENSG00000118454	chr1	70258999	70354734
ENSG00000197568	chr1	70354805	70385339
ENSG00000116761	chr1	70411218	70439851
ENSG00000132485	chr1	71063291	71081289
ENSG00000254685	chr1	74198212	74234086
ENSG00000116791	chr1	74705482	74733408
ENSG00000162623	chr1	74733152	74766678
ENSG00000117054	chr1	75724347	75787575
ENSG00000137955	chr1	75786197	75795086
ENSG00000142892	chr1	77088989	77219430
ENSG00000154027	chr1	77282019	77559966
ENSG00000036549	chr1	77562416	77683419
ENSG00000077254	chr1	77695987	77759852
ENSG00000180488	chr1	77779624	77879539
ENSG00000162614	chr1	77888513	77943895
ENSG00000162613	chr1	77944055	77979110
ENSG00000117114	chr1	81306147	81992436
ENSG00000137941	chr1	83865024	83999150
ENSG00000142875	chr1	84078062	84238498
ENSG00000117133	chr1	84479259	84498352
ENSG00000174021	chr1	84498325	84506581
ENSG00000117151	chr1	84549611	84574480
ENSG00000117155	chr1	84643707	84690803
ENSG00000171517	chr1	84811602	84893206
ENSG00000162642	chr1	85249953	85259672
ENSG00000142867	chr1	85265776	85276632
ENSG00000153904	chr1	85318481	85578363
ENSG00000142871	chr1	85580761	85583950
ENSG00000117174	chr1	85649417	85708433
ENSG00000122417	chr1	86346824	86396342
ENSG00000097033	chr1	86704570	86748184
ENSG00000183291	chr1	86862445	86914424
ENSG00000153936	chr1	86914635	87109982
ENSG00000143013	chr1	87328880	87348923
ENSG00000065243	chr1	88684222	88836255
ENSG00000137947	chr1	88852633	88891944
ENSG00000137944	chr1	88935773	88992953
ENSG00000213516	chr1	88979456	88992960
ENSG00000117226	chr1	89006679	89022894
ENSG00000162645	chr1	89106132	89150456
ENSG00000197147	chr1	89524836	89597864
ENSG00000162664	chr1	89995110	90035533
ENSG00000122482	chr1	90915298	91022272
ENSG00000069702	chr1	91680343	91906335
ENSG00000122484	chr1	92299059	92402056
ENSG00000067208	chr1	92508696	92792404
ENSG00000122406	chr1	92832013	92841924
ENSG00000154511	chr1	92832737	92961522
ENSG00000143033	chr1	93079235	93139079
ENSG00000117500	chr1	93149742	93180516
ENSG00000117505	chr1	93345907	93369493
ENSG00000137942	chr1	93448131	93554661
ENSG00000137936	chr1	93561741	93847150
ENSG00000067334	chr1	93866284	93879918
ENSG00000023909	chr1	93885199	93909456
ENSG00000137962	chr1	94148988	94275068
ENSG00000117528	chr1	94418389	94518666
ENSG00000117525	chr1	94529173	94541759
ENSG00000143036	chr1	94820342	94895246
ENSG00000117519	chr1	94896949	94927223
ENSG00000172339	chr1	94974405	95072951
ENSG00000152078	chr1	95117355	95197607
ENSG00000117569	chr1	96721665	96823738
ENSG00000188641	chr1	97077743	97995000
ENSG00000162627	chr1	98661701	98760500
ENSG00000099260	chr1	99646113	99694541
ENSG00000162688	chr1	99850361	99924023
ENSG00000117620	chr1	99969351	100035634
ENSG00000156875	chr1	100038095	100083377
ENSG00000122435	chr1	100133150	100150498
ENSG00000137992	chr1	100186919	100249834
ENSG00000137996	chr1	100266207	100292769
ENSG00000079335	chr1	100345001	100520277
ENSG00000162694	chr1	100872372	100895179
ENSG00000162695	chr1	100896076	100981757
ENSG00000117543	chr1	100989623	101026088
ENSG00000185946	chr1	103525691	103555239
ENSG00000198890	chr1	107056674	107067636
ENSG00000085491	chr1	108134043	108200849
ENSG00000162639	chr1	108648290	108661526
ENSG00000134186	chr1	108692310	108702928
ENSG00000116266	chr1	108746674	108809523
ENSG00000121940	chr1	108929508	108963457
ENSG00000197780	chr1	109062486	109076003
ENSG00000215717	chr1	109090764	109096934
ENSG00000116299	chr1	109113679	109206781
ENSG00000031698	chr1	109213918	109238182
ENSG00000134243	chr1	109309568	109397918
ENSG00000143106	chr1	109399042	109426448
ENSG00000174151	chr1	109494052	109502932
ENSG00000181754	chr1	109504178	109509738
ENSG00000065135	chr1	109548615	109600195
ENSG00000116337	chr1	109616104	109632053
ENSG00000168765	chr1	109656099	109674836
ENSG00000134202	chr1	109733932	109741038
ENSG00000168710	chr1	109984765	110023742
ENSG00000143093	chr1	110031577	110074641
ENSG00000162775	chr1	110338506	110346681
ENSG00000134248	chr1	110401249	110407942
ENSG00000121931	chr1	110947190	110963965
ENSG00000156171	chr1	111117333	111140216
ENSG00000134255	chr1	111139627	111185104
ENSG00000162777	chr1	111185969	111204535
ENSG00000173947	chr1	111346600	111353013
ENSG00000116455	chr1	111439890	111449256
ENSG00000116459	chr1	111448864	111462773
ENSG00000116473	chr1	111542218	111716691
ENSG00000064703	chr1	111755245	111768000
ENSG00000171385	chr1	111770662	111989155
ENSG00000143079	chr1	112396214	112463456
ENSG00000007341	chr1	112523514	112620825
ENSG00000116489	chr1	112619805	112671616
ENSG00000155363	chr1	112673141	112700746
ENSG00000155366	chr1	112701127	112707434
ENSG00000155380	chr1	112911847	112957013
ENSG00000198799	chr1	113073198	113132260
ENSG00000081026	chr1	113390515	113685923
ENSG00000116793	chr1	113696831	113759489
ENSG00000081019	chr1	113761832	113812476
ENSG00000134262	chr1	113894194	113905201
ENSG00000163349	chr1	113929324	113977869
ENSG00000116774	chr1	113979391	114035572
ENSG00000197323	chr1	114392790	114511203
ENSG00000116752	chr1	114567557	114581629
ENSG00000213281	chr1	114704469	114716771
ENSG00000009307	chr1	114716913	114758676
ENSG00000052723	chr1	114769479	114780685
ENSG00000173218	chr1	115641970	115698224
ENSG00000163399	chr1	116372668	116410261
ENSG00000116815	chr1	116514534	116571039
ENSG00000143061	chr1	116574399	116667755
ENSG00000134247	chr1	116909916	116990353
ENSG00000198162	chr1	117367449	117528872
ENSG00000183508	chr1	117606048	117628389
ENSG00000196505	chr1	117863485	117929621
ENSG00000065183	chr1	117929720	117966543
ENSG00000116874	chr1	119031216	119140671
ENSG00000143067	chr1	119619377	119648266
ENSG00000092621	chr1	119648411	119744226
ENSG00000134240	chr1	119748002	119768905
ENSG00000134250	chr1	119911553	120100779
ENSG00000265808	chr1	120150898	120176520
ENSG00000226067	chr1	120913184	121009291
ENSG00000232527	chr1	144227029	144250326
ENSG00000117262	chr1	145607988	145670650
ENSG00000265491	chr1	145738868	145824095
ENSG00000186141	chr1	145824088	145844402
ENSG00000131788	chr1	145848522	145859836
ENSG00000198483	chr1	145866560	145885866
ENSG00000131779	chr1	145911350	145918717
ENSG00000265241	chr1	145917714	145927678
ENSG00000271601	chr1	145933423	145958017
ENSG00000121851	chr1	145964690	145978848
ENSG00000265972	chr1	145992435	145996579
ENSG00000131781	chr1	147175351	147243050
ENSG00000131778	chr1	147242654	147295765
ENSG00000116128	chr1	147541501	147626216
ENSG00000162836	chr1	147629652	147670524
ENSG00000188092	chr1	147928393	147993592
ENSG00000263956	chr1	148102046	148152322
ENSG00000270629	chr1	148531385	148679742
ENSG00000178104	chr1	148808181	149048286
ENSG00000274265	chr1	149175748	149259987
ENSG00000271383	chr1	149475338	149556361
ENSG00000272196	chr1	149851061	149851624
ENSG00000184678	chr1	149884459	149886652
ENSG00000178096	chr1	149887890	149900798
ENSG00000143368	chr1	149923317	149927803
ENSG00000264522	chr1	149937812	150010726
ENSG00000136631	chr1	150067279	150145329
ENSG00000023902	chr1	150149183	150164720
ENSG00000143401	chr1	150218417	150236156
ENSG00000117362	chr1	150265399	150269580
ENSG00000118292	chr1	150268200	150280916
ENSG00000266472	chr1	150293720	150308979
ENSG00000117360	chr1	150321479	150353233
ENSG00000163125	chr1	150363091	150476566
ENSG00000143374	chr1	150487364	150507609
ENSG00000143384	chr1	150574551	150579738
ENSG00000143420	chr1	150600851	150629612
ENSG00000143457	chr1	150646230	150697154
ENSG00000163131	chr1	150730188	150765792
ENSG00000143387	chr1	150796208	150808260
ENSG00000143437	chr1	150809713	150876708
ENSG00000143379	chr1	150926263	150964744
ENSG00000143418	chr1	150960583	150975004
ENSG00000143409	chr1	150996086	151008375
ENSG00000143363	chr1	151008420	151035713
ENSG00000143443	chr1	151047751	151051986
ENSG00000197622	chr1	151050971	151070325
ENSG00000143458	chr1	151070578	151125542
ENSG00000163156	chr1	151156664	151170296
ENSG00000163159	chr1	151176304	151195321
ENSG00000143398	chr1	151197949	151249536
ENSG00000159352	chr1	151254709	151267479
ENSG00000143393	chr1	151291797	151327715
ENSG00000143390	chr1	151340640	151347357
ENSG00000143416	chr1	151364304	151372707
ENSG00000159377	chr1	151399560	151401937
ENSG00000143442	chr1	151402724	151459494
ENSG00000143375	chr1	151510510	151538692
ENSG00000143367	chr1	151540305	151583583
ENSG00000143376	chr1	151612006	151699091
ENSG00000143436	chr1	151759647	151763496
ENSG00000143450	chr1	151762899	151771334
ENSG00000143365	chr1	151806071	151831845
ENSG00000159445	chr1	151870866	151909637
ENSG00000197747	chr1	151982915	151993859
ENSG00000163191	chr1	152032506	152047907
ENSG00000163220	chr1	153357854	153361023
ENSG00000197956	chr1	153534599	153536244
ENSG00000196154	chr1	153543613	153550136
ENSG00000196754	chr1	153561108	153567890
ENSG00000188643	chr1	153606886	153613145
ENSG00000189334	chr1	153614255	153616986
ENSG00000189171	chr1	153618787	153631360
ENSG00000160679	chr1	153633982	153646306
ENSG00000143553	chr1	153658703	153661852
ENSG00000143621	chr1	153661788	153671028
ENSG00000143624	chr1	153728050	153774808
ENSG00000143554	chr1	153774354	153780157
ENSG00000143614	chr1	153789030	153923360
ENSG00000198837	chr1	153929501	153946718
ENSG00000160741	chr1	153947669	153958615
ENSG00000143570	chr1	153959099	153968184
ENSG00000143578	chr1	153967534	153974361
ENSG00000143543	chr1	153974269	153977674
ENSG00000143545	chr1	153981617	153986358
ENSG00000177954	chr1	153990762	153992155
ENSG00000143549	chr1	154155304	154194648
ENSG00000143612	chr1	154206696	154220637
ENSG00000143569	chr1	154220179	154271510
ENSG00000143575	chr1	154272589	154275875
ENSG00000143515	chr1	154325553	154351304
ENSG00000160712	chr1	154405193	154469450
ENSG00000160714	chr1	154548577	154559028
ENSG00000160710	chr1	154582057	154628013
ENSG00000163344	chr1	154924740	154936719
ENSG00000163346	chr1	154944076	154956123
ENSG00000163348	chr1	154957026	154963853
ENSG00000160691	chr1	154962298	154974395
ENSG00000173207	chr1	154974653	154979251
ENSG00000160688	chr1	154983338	154993111
ENSG00000160685	chr1	155002630	155018522
ENSG00000143537	chr1	155050566	155062775
ENSG00000243364	chr1	155063737	155069553
