"Genes","ENSMBLID","chr","start","stop"
"MCL1","ENSG00000143384.8","chr1",150547032,150552066
"PEX11B","ENSG00000131779.6","chr1",145516252,145523730
"RPS14P3","ENSG00000226396.1","chr1",19934608,19935062
"RP3-426I6.2","ENSG00000231344.1","chr1",28065602,28065950
"GIPC2","ENSG00000137960.5","chr1",78445226,78604133
"ZBED6","ENSG00000257315.1","chr1",203765437,203769686
"CD55","ENSG00000196352.9","chr1",207494853,207534311
"PEA15","ENSG00000162734.8","chr1",160175127,160185166
"RP11-417J8.6","ENSG00000203849.6","chr1",142620645,142729967
"UQCRBP2","ENSG00000227941.1","chr1",162511122,162511418
"PPAP2B","ENSG00000162407.8","chr1",56960419,57110974
"snoU13","ENSG00000239046.1","chr1",202200792,202200892
"RP1-206D15.5","ENSG00000234604.2","chr1",169443298,169443397
"OR2L5","ENSG00000197454.1","chr1",248185250,248186188
"SNORA16B","ENSG00000201544.1","chr1",212526158,212526292
"RP11-84O12.4","ENSG00000230402.2","chr1",101092605,101106169
"MSTO2P","ENSG00000203761.4","chr1",155581011,155720105
"CELA3A","ENSG00000142789.15","chr1",22328149,22339032
"FPGT","ENSG00000254685.2","chr1",74663896,74699770
"SLC35F3","ENSG00000183780.8","chr1",234040679,234460262
"SNORA70","ENSG00000253042.1","chr1",202496438,202496555
"RP11-342M1.7","ENSG00000233708.1","chr1",43352268,43354438
"PRAMEF12","ENSG00000116726.4","chr1",12834984,12838049
"SEPN1","ENSG00000162430.12","chr1",26126667,26144713
"RP11-145A3.2","ENSG00000226349.1","chr1",225898670,225923976
"RP5-1011O1.2","ENSG00000232498.1","chr1",192486769,192536347
"RP11-740P5.3","ENSG00000231630.1","chr1",2730997,2731563
"SYT11","ENSG00000132718.7","chr1",155829300,155854990
"RP4-612B15.3","ENSG00000261737.1","chr1",87169185,87170145
"RNU6-307P","ENSG00000252552.1","chr1",174965661,174965766
"MIR4428","ENSG00000266262.1","chr1",237634419,237634491
"RP11-417J8.1","ENSG00000227552.1","chr1",142553293,142559170
"PRELP","ENSG00000188783.5","chr1",203444956,203460480
"RP11-115D7.3","ENSG00000226745.2","chr1",40598436,40599120
"OR2M2","ENSG00000198601.2","chr1",248343288,248344331
"ZNF436","ENSG00000125945.10","chr1",23685941,23695935
"TYW3","ENSG00000162623.11","chr1",75198836,75232362
"RP11-334L9.1","ENSG00000215895.4","chr1",39174603,39176562
"RP11-345I18.1","ENSG00000234041.1","chr1",179106899,179107069
"RP11-20O24.1","ENSG00000228665.2","chr1",109572689,109572941
"MROH7-TTC4","ENSG00000271723.1","chr1",55107459,55207981
"ANKRD36BP1","ENSG00000214262.4","chr1",168214803,168216581
"RP11-739N20.2","ENSG00000226330.1","chr1",204346978,204404974
"RP11-46A10.2","ENSG00000225857.1","chr1",180875787,180878302
"CLCA1","ENSG00000016490.11","chr1",86934051,86965972
"RP11-195M16.1","ENSG00000235005.1","chr1",110426798,110428886
"RP5-1053E7.2","ENSG00000228943.1","chr1",28436250,28436809
"BTG2","ENSG00000159388.5","chr1",203274619,203278730
"snoU13","ENSG00000238872.1","chr1",174169267,174169368
"C1orf87","ENSG00000162598.9","chr1",60452941,60539442
"Y_RNA","ENSG00000201134.1","chr1",151814212,151814313
"RP11-400N13.1","ENSG00000236230.1","chr1",222262511,222560776
"RAB13","ENSG00000143545.4","chr1",153954127,153958834
"RNA5S2","ENSG00000201588.1","chr1",228748256,228748374
"KLHL12","ENSG00000117153.11","chr1",202860228,202897764
"RP3-522D1.2","ENSG00000228040.1","chr1",113433389,113433544
"PRRX1","ENSG00000116132.7","chr1",170631869,170708560
"DNAJC16","ENSG00000116138.8","chr1",15853308,15918874
"TSEN15P2","ENSG00000230604.2","chr1",52325450,52325807
"CD2","ENSG00000116824.4","chr1",117297007,117311850
"RNA5SP23","ENSG00000212308.1","chr1",78840849,78840953
"ERI3","ENSG00000117419.10","chr1",44686742,44820932
"NID1","ENSG00000116962.10","chr1",236139130,236228462
"AL353898.2","ENSG00000203276.2","chr1",54498816,54500553
"RNF2","ENSG00000121481.6","chr1",185014496,185071740
"NBPF8","ENSG00000162825.12","chr1",144146808,144224481
"Y_RNA","ENSG00000252317.1","chr1",240504685,240504777
"LAX1","ENSG00000122188.8","chr1",203734304,203745361
"B3GALT6","ENSG00000176022.3","chr1",1167629,1170421
"RNA5SP71","ENSG00000199837.1","chr1",182913500,182913625
"RP4-792G4.2","ENSG00000230798.1","chr1",63786555,63790112
"RP11-348H3.4","ENSG00000235182.1","chr1",213026622,213026768
"IKBKE","ENSG00000143466.9","chr1",206643791,206670223
"RP1-69M21.2","ENSG00000235643.1","chr1",11669588,11673412
"OBSCN","ENSG00000154358.15","chr1",228395831,228566577
"S100A4","ENSG00000196154.7","chr1",153516089,153522612
"RP11-443B7.2","ENSG00000237520.1","chr1",235092978,235095736
"AHCTF1","ENSG00000153207.10","chr1",247002400,247095280
"RN7SL490P","ENSG00000265143.1","chr1",26674956,26675210
"RP11-337C18.10","ENSG00000273071.1","chr1",146644765,146724314
"RP11-552D4.1","ENSG00000228058.1","chr1",230138477,230142909
"LPPR5","ENSG00000117598.7","chr1",99355806,99470588
"SDCCAG3P2","ENSG00000181101.7","chr1",175013762,175014784
"SPSB1","ENSG00000171621.9","chr1",9352939,9429591
"RP4-740C4.9","ENSG00000271921.1","chr1",2306292,2306792
"Y_RNA","ENSG00000207356.1","chr1",40410562,40410670
"RP11-411H5.1","ENSG00000226715.1","chr1",102189298,102195170
"RP11-475E11.2","ENSG00000228076.2","chr1",109309463,109310206
"BNIPL","ENSG00000163141.14","chr1",151009046,151020076
"VPS72","ENSG00000163159.7","chr1",151142463,151167797
"RYR2","ENSG00000198626.11","chr1",237205505,237997288
"AL390036.1","ENSG00000264753.1","chr1",108561275,108561393
"VPS45","ENSG00000136631.8","chr1",150039369,150117505
"OR2T34","ENSG00000183310.2","chr1",248737022,248738080
"RP4-745E8.2","ENSG00000226664.1","chr1",20620704,20649680
"EEF1A1P11","ENSG00000228502.1","chr1",96912486,96913874
"SPHAR","ENSG00000213029.2","chr1",229440129,229441248
"AL592494.5","ENSG00000227082.1","chr1",121138614,121204983
"RER1","ENSG00000157916.14","chr1",2323267,2336883
"PSMB4","ENSG00000159377.6","chr1",151372010,151374420
"EBNA1BP2","ENSG00000117395.6","chr1",43629846,43736607
"OR1C1","ENSG00000221888.2","chr1",247920676,247921982
"Y_RNA","ENSG00000200171.1","chr1",44619057,44619152
"OR2L8","ENSG00000196936.3","chr1",248112160,248113098
"TADA1","ENSG00000152382.5","chr1",166825747,166845564
"ITGA10","ENSG00000143127.8","chr1",145524891,145543868
"SPATA1","ENSG00000122432.12","chr1",84971974,85031877
"FLVCR1-AS1","ENSG00000198468.3","chr1",213025450,213031430
"RP4-798A10.2","ENSG00000226029.1","chr1",16787443,16794976
"RP11-556K13.1","ENSG00000183298.4","chr1",102251892,102254059
"LELP1","ENSG00000203784.2","chr1",153175919,153177596
"RNA5SP41","ENSG00000222952.1","chr1",13949679,13949779
"MIR1262","ENSG00000221203.1","chr1",68649201,68649293
"RP11-93N20.1","ENSG00000229943.1","chr1",75428998,75430802
"LCE1B","ENSG00000196734.6","chr1",152784447,152785585
"ITGB3BP","ENSG00000142856.12","chr1",63906441,64059392
"SNORA25","ENSG00000200536.1","chr1",110815106,110815229
"SDHB","ENSG00000117118.5","chr1",17345217,17380665
"CD1B","ENSG00000158485.6","chr1",158297741,158301321
"RN7SL276P","ENSG00000263877.1","chr1",222881579,222881873
"RP11-495P10.8","ENSG00000231196.3","chr1",147762996,147767966
"HMGB4","ENSG00000176256.6","chr1",34326076,34330392
"SH2D1B","ENSG00000198574.4","chr1",162365056,162381928
"RN7SL136P","ENSG00000263591.1","chr1",35729823,35730083
"RNU1-68P","ENSG00000252925.1","chr1",149671723,149671868
"RP11-490G2.2","ENSG00000259946.1","chr1",98432561,98434370
"OR10J4","ENSG00000249730.1","chr1",159401994,159402928
"RPS23P10","ENSG00000224203.2","chr1",161506361,161507948
"S100A11","ENSG00000163191.5","chr1",152004982,152020383
"ZMYM6","ENSG00000271741.1","chr1",35447134,35497342
"RN7SL425P","ENSG00000239373.2","chr1",171461550,171461858
"AGTRAP","ENSG00000177674.11","chr1",11796141,11814859
"TMEM88B","ENSG00000205116.3","chr1",1361508,1363167
"SNORD112","ENSG00000252740.1","chr1",163355655,163355726
"RP4-803A2.2","ENSG00000239670.1","chr1",33452553,33453834
"RP11-545A16.3","ENSG00000227141.2","chr1",179555840,179558310
"OR6Y1","ENSG00000197532.1","chr1",158516918,158517895
"RP5-1027O11.1","ENSG00000224235.1","chr1",88365592,88371397
"RP11-6B6.3","ENSG00000236942.1","chr1",205594611,205595281
"USP48","ENSG00000090686.11","chr1",22004791,22110099
"RP4-675G8.4","ENSG00000238037.1","chr1",44620700,44620973
"TCEB3","ENSG00000011007.8","chr1",24069645,24088549
"OR2M7","ENSG00000177186.2","chr1",248486894,248487899
"PIGQP1","ENSG00000227104.3","chr1",56404387,56404953
"RP1-163G9.2","ENSG00000226286.1","chr1",3049491,3050273
"RP1-35C21.2","ENSG00000227579.1","chr1",177362423,177566844
"GLRX2","ENSG00000023572.4","chr1",193065598,193075244
"RP4-758J24.5","ENSG00000272091.1","chr1",54492356,54494172
"ZMYM4-AS1","ENSG00000227409.1","chr1",35824423,35831678
"KMO","ENSG00000117009.7","chr1",241695434,241758944
"GPX7","ENSG00000116157.5","chr1",53068044,53074723
"FLAD1","ENSG00000160688.14","chr1",154955814,154965587
"PRAMEF17","ENSG00000204479.4","chr1",13716092,13719089
"RP4-559A3.6","ENSG00000248322.1","chr1",226124111,226125257
"RNU2-30P","ENSG00000252018.1","chr1",53219994,53220134
"RP11-640M9.2","ENSG00000225241.3","chr1",144593363,144621656
"RP4-612B18.3","ENSG00000213060.4","chr1",171772657,171773079
"PFKFB2","ENSG00000123836.10","chr1",207222801,207254369
"C1orf158","ENSG00000157330.5","chr1",12806163,12823847
"MIR5191","ENSG00000264802.1","chr1",201688636,201688755
"RP11-95P13.2","ENSG00000238232.1","chr1",219730534,219731043
"RNU1-4","ENSG00000207389.1","chr1",17067011,17067174
"ZBTB7B","ENSG00000160685.9","chr1",154975127,154990998
"KIAA1324","ENSG00000116299.12","chr1",109656301,109749401
"ACTL8","ENSG00000117148.6","chr1",18081808,18153558
"ASH1L","ENSG00000116539.6","chr1",155305059,155532598
"CSMD2","ENSG00000121904.13","chr1",33979609,34631443
"RP11-293F5.8","ENSG00000228823.1","chr1",21737953,21739786
"RP11-5P4.3","ENSG00000229225.1","chr1",63543752,63544702
"CTA-215D11.4","ENSG00000232848.1","chr1",8117305,8118523
"PGCP1","ENSG00000227179.2","chr1",111925482,111934441
"CERS2","ENSG00000143418.15","chr1",150933059,150947479
"RP11-74C1.2","ENSG00000223861.1","chr1",151529922,151530416
"NEGR1-IT1","ENSG00000228853.1","chr1",72259915,72302695
"RP1-317E23.6","ENSG00000255054.3","chr1",26137961,26150235
"PGLYRP4","ENSG00000163218.10","chr1",153302596,153321316
"RN7SL512P","ENSG00000264590.1","chr1",212789050,212789295
"RP11-91A18.1","ENSG00000229032.1","chr1",52446145,52446486
"MCOLN2","ENSG00000153898.8","chr1",85391268,85462796
"HIST2H2BC","ENSG00000203819.6","chr1",149821760,149822339
"ADH5P2","ENSG00000232676.1","chr1",79986765,79987888
"FBXO6","ENSG00000116663.6","chr1",11724181,11734411
"SLFNL1","ENSG00000171790.11","chr1",41481269,41488909
"RP11-233E12.1","ENSG00000237460.2","chr1",107360861,107380789
"TP73-AS1","ENSG00000227372.6","chr1",3652548,3663900
"RN7SL235P","ENSG00000266532.1","chr1",92404826,92405131
"SHISA4","ENSG00000198892.6","chr1",201857808,201861434
"RP11-480I12.9","ENSG00000243113.1","chr1",202842422,202843454
"BX323860.1","ENSG00000211525.2","chr1",230184929,230184997
"RPL22","ENSG00000116251.5","chr1",6241329,6269449
"PITHD1","ENSG00000057757.5","chr1",24104895,24114722
"PTGFR","ENSG00000122420.5","chr1",78769568,79005434
"GPATCH3","ENSG00000198746.8","chr1",27216979,27226957
"AL590683.2","ENSG00000266511.1","chr1",24606257,24606345
"ATP5F1","ENSG00000116459.6","chr1",111991486,112005395
"RBM15","ENSG00000162775.10","chr1",110881128,110889299
"RP11-365O16.6","ENSG00000237101.1","chr1",224407315,224415745
"RP4-790G17.7","ENSG00000271845.1","chr1",150227489,150229681
"RP11-96K19.5","ENSG00000273010.1","chr1",111505924,111507271
"RP11-465K1.2","ENSG00000237416.2","chr1",95302304,95320982
"TRIT1","ENSG00000043514.11","chr1",40306723,40349183
"MIR5095","ENSG00000266188.1","chr1",53400602,53400689
"CDA","ENSG00000158825.5","chr1",20915441,20945401
"HES3","ENSG00000173673.7","chr1",6304252,6305638
"LRRC37A12P","ENSG00000229259.1","chr1",32888815,32892390
"HYI","ENSG00000178922.12","chr1",43916824,43919660
"RP11-379C1.1","ENSG00000270615.1","chr1",70072538,70073984
"LUZP1","ENSG00000169641.9","chr1",23410516,23504301
"RNU6-725P","ENSG00000252371.1","chr1",238488987,238489088
"MYCBP","ENSG00000214114.4","chr1",39328636,39347289
"RP11-297H3.3","ENSG00000233985.1","chr1",170143544,170210428
"RNU6-949P","ENSG00000206767.1","chr1",28002114,28002220
"WDTC1","ENSG00000142784.11","chr1",27561007,27635110
"Y_RNA","ENSG00000252612.1","chr1",185235667,185235759
"RP11-339A11.2","ENSG00000260322.1","chr1",80580628,80582603
"SLC45A1","ENSG00000162426.10","chr1",8377886,8404227
"LAMC1","ENSG00000135862.5","chr1",182992595,183114727
"snoU13","ENSG00000238296.1","chr1",101694220,101694321
"KIF21B","ENSG00000116852.10","chr1",200938520,200992828
"KPRP","ENSG00000203786.5","chr1",152730506,152734529
"RP5-1024N4.4","ENSG00000272491.1","chr1",48693560,48695233
"RP11-448G4.2","ENSG00000235582.2","chr1",197704766,197705237
"LYST","ENSG00000143669.9","chr1",235824341,236046940
"RPS15AP12","ENSG00000232134.1","chr1",220317306,220317693
"MTND3P8","ENSG00000232714.1","chr1",235705059,235705397
"RP11-419N10.5","ENSG00000235226.1","chr1",159728960,159729379
"CTA-21C21.1","ENSG00000270507.1","chr1",88778836,88778985
"RNU6-1026P","ENSG00000207194.1","chr1",51048076,51048183
"GUK1","ENSG00000143774.12","chr1",228327663,228336685
"RAB3B","ENSG00000169213.6","chr1",52373628,52456436
"PFDN2","ENSG00000143256.4","chr1",161070346,161087901
"MECR","ENSG00000116353.11","chr1",29519385,29557454
"RP1-202O8.2","ENSG00000231868.1","chr1",6503094,6507066
"SV2A","ENSG00000159164.5","chr1",149874870,149889434
"RNU6-771P","ENSG00000207511.1","chr1",13384735,13384841
"SYT14","ENSG00000143469.12","chr1",210111538,210337636
"RP11-302I18.3","ENSG00000226927.1","chr1",220533073,220533525
"FAM87B","ENSG00000177757.1","chr1",752751,755214
"RN7SL488P","ENSG00000264271.1","chr1",63995288,63995569
"Y_RNA","ENSG00000200982.1","chr1",248209090,248209191
"AL445464.1","ENSG00000266832.1","chr1",76308317,76308402
"LCE1F","ENSG00000240386.2","chr1",152748848,152749445
"CR812485.1","ENSG00000212044.1","chr1",149323331,149323422
"snoU13","ENSG00000239094.1","chr1",226503762,226503865
"RP11-280O1.2","ENSG00000237463.1","chr1",165446078,165551392
"RP11-277B15.1","ENSG00000213068.3","chr1",167131660,167132074
"RN7SKP91","ENSG00000222784.1","chr1",31316670,31316957
"C1orf68","ENSG00000198854.4","chr1",152691998,152692905
"PRKCZ","ENSG00000067606.11","chr1",1981909,2116834
"RP4-765C7.2","ENSG00000213058.3","chr1",178380751,178381107
"RP11-3L21.2","ENSG00000229400.1","chr1",224905206,224918364
"C1orf21","ENSG00000116667.8","chr1",184356192,184598154
"RP11-565P22.6","ENSG00000254706.1","chr1",162335197,162351905
"HSD17B7","ENSG00000132196.9","chr1",162760492,162782607
"MIB2","ENSG00000197530.8","chr1",1550795,1565990
"RP4-580N22.2","ENSG00000229291.1","chr1",236121179,236135125
"SNORA70","ENSG00000206637.1","chr1",201947589,201947723
"CD34","ENSG00000174059.12","chr1",208057594,208084747
"RP11-269F20.1","ENSG00000236031.1","chr1",243708834,243711631
"CSF3R","ENSG00000119535.13","chr1",36931644,36948879
"LINC00467","ENSG00000153363.8","chr1",211556145,211605878
"PAQR7","ENSG00000182749.5","chr1",26187701,26197744
"RP11-395N6.4","ENSG00000270850.1","chr1",32887580,32887920
"PADI3","ENSG00000142619.4","chr1",17575593,17610728
"RP11-177F11.1","ENSG00000233519.1","chr1",240563971,240564423
"CICP13","ENSG00000234419.1","chr1",222641436,222644224
"RP11-541H12.1","ENSG00000230748.1","chr1",165466961,165467585
"BSND","ENSG00000162399.6","chr1",55464606,55476556
"RN7SL421P","ENSG00000264385.1","chr1",22305444,22305729
"BTF3P9","ENSG00000224834.1","chr1",227621765,227622047
"RP6-74O6.3","ENSG00000229952.1","chr1",147494090,147498172
"AGL","ENSG00000162688.11","chr1",100315640,100389579
"ARF1","ENSG00000143761.9","chr1",228270361,228286912
"MIR942","ENSG00000215930.1","chr1",117637265,117637350
"NPPA","ENSG00000175206.6","chr1",11905766,11908402
"RP11-564A8.4","ENSG00000226945.1","chr1",207080964,207081574
"SNRPGP10","ENSG00000235363.1","chr1",205320375,205320599
"RP11-67L3.5","ENSG00000242396.1","chr1",55352548,55353674
"RN7SL657P","ENSG00000264293.1","chr1",1340841,1341132
"MYOC","ENSG00000034971.10","chr1",171604557,171621823
"RP1-224A6.3","ENSG00000228397.1","chr1",22350487,22351461
"OR10T2","ENSG00000186306.1","chr1",158368312,158369256
"CREG1","ENSG00000143162.7","chr1",167498914,167523004
"CCNT2P1","ENSG00000225672.1","chr1",111550322,111558152
"RP11-306K13.1","ENSG00000224348.2","chr1",241468880,241469182
"Y_RNA","ENSG00000199565.1","chr1",153698728,153698829
"RP11-408E1.1","ENSG00000225122.1","chr1",163392195,163392954
"FMO11P","ENSG00000232148.1","chr1",166732571,166762004
"RP5-865N13.2","ENSG00000235152.1","chr1",232295837,232321389
"NFIA","ENSG00000162599.11","chr1",61330931,61928465
"HSPB11","ENSG00000081870.7","chr1",54382247,54411602
"RP11-358H9.1","ENSG00000226643.1","chr1",222626082,222628047
"RP5-998N21.10","ENSG00000273213.1","chr1",149398877,149400540
"RP11-403I13.6","ENSG00000242352.2","chr1",149261186,149263729
"UBE4B","ENSG00000130939.14","chr1",10092890,10241297
"RP11-103C3.1","ENSG00000232436.1","chr1",221681901,221684321
"NDUFS5P2","ENSG00000234226.4","chr1",97049973,97050290
"RNU6-828P","ENSG00000201746.1","chr1",10223326,10223432
"RP4-736I12.1","ENSG00000225923.1","chr1",96856208,96856949
"PRAMEF2","ENSG00000120952.4","chr1",12916941,12921764
"CLCC1","ENSG00000121940.11","chr1",109472130,109506111
"RGS8","ENSG00000135824.8","chr1",182615239,182653711
"RP11-344H11.4","ENSG00000172746.6","chr1",27306656,27307466
"RP11-196G18.1","ENSG00000226500.2","chr1",149725851,149726260
"RP11-520H16.4","ENSG00000233473.2","chr1",159050923,159051585
"MIR101-1","ENSG00000199135.1","chr1",65524117,65524191
"SNORD55","ENSG00000264294.1","chr1",45241536,45241615
"RP4-781K5.9","ENSG00000272362.1","chr1",234780412,234783317
"AL590683.1","ENSG00000221032.3","chr1",24554407,24554520
"RP4-641G12.3","ENSG00000238015.2","chr1",79131957,79132380
"SNORD85","ENSG00000200181.1","chr1",31441011,31441083
"RP11-134G8.8","ENSG00000224818.1","chr1",201433511,201434274
"RP11-450I1.4","ENSG00000250894.1","chr1",13012966,13015755
"HS6ST1P1","ENSG00000187952.8","chr1",21754796,21756030
"RP11-511I2.2","ENSG00000225762.1","chr1",47846600,47874149
"RNA5S6","ENSG00000200624.1","chr1",228757194,228757312
"ZMYM1","ENSG00000197056.5","chr1",35525387,35581460
"ATPAF1","ENSG00000123472.8","chr1",47098409,47139539
"IFI6","ENSG00000126709.10","chr1",27992572,27998729
"RNU1-75P","ENSG00000194297.2","chr1",119874020,119874148
"RP4-593M8.1","ENSG00000223787.2","chr1",93046033,93046378
"ZNF692","ENSG00000171163.11","chr1",249144205,249153343
"PODN","ENSG00000174348.9","chr1",53527854,53551174
"DNAJA1P5","ENSG00000162699.5","chr1",102358661,102359603
"RNU6-1319P","ENSG00000212157.1","chr1",224163848,224163951
"RNVU1-10","ENSG00000207340.1","chr1",147834502,147834665
"RP11-403I13.9","ENSG00000233430.2","chr1",149305910,149313076
"CTA-134P22.2","ENSG00000225670.3","chr1",159165775,159177763
"MIA3","ENSG00000154305.12","chr1",222791428,222841354
"ZC3H12A","ENSG00000163874.8","chr1",37940153,37949980
"RP5-1024G6.7","ENSG00000259818.1","chr1",53686335,53689925
"RP11-90L20.2","ENSG00000235121.1","chr1",201692422,201706634
"AL161793.1","ENSG00000252731.1","chr1",204622230,204622314
"SLC6A17","ENSG00000197106.6","chr1",110693108,110744824
"RP11-384C4.6","ENSG00000230063.1","chr1",212470790,212472921
"ASB17","ENSG00000154007.6","chr1",76384558,76398116
"RP11-568G11.5","ENSG00000270708.1","chr1",220393633,220393935
"VANGL1","ENSG00000173218.10","chr1",116184574,116240845
"RP11-293G6__B.8","ENSG00000270710.1","chr1",235729061,235730237
"RP11-465N4.5","ENSG00000273478.1","chr1",201964824,201965480
"RP11-74C13.3","ENSG00000230550.1","chr1",204110536,204112137
"SNORA72","ENSG00000201944.1","chr1",205700349,205700480
"GABRD","ENSG00000187730.6","chr1",1950780,1962192
"AL137800.1","ENSG00000265042.1","chr1",183479810,183479899
"RP11-219C24.8","ENSG00000231219.1","chr1",13379149,13381237
"RP5-837O21.6","ENSG00000235794.1","chr1",94389942,94390272
"TMEM51-AS1","ENSG00000175147.7","chr1",15442448,15478960
"RP1-272L16.1","ENSG00000224260.2","chr1",209701800,209741018
"RP5-855F14.1","ENSG00000231768.1","chr1",234663637,234667525
"OR2T6","ENSG00000198104.2","chr1",248550910,248551836
"OR2T12","ENSG00000177201.1","chr1",248457918,248458880
"ASCL5","ENSG00000232237.2","chr1",201083081,201096312
"RP11-353N4.6","ENSG00000269501.1","chr1",149575482,149616786
"NT5C1A","ENSG00000116981.3","chr1",40124793,40137710
"ZNF496","ENSG00000162714.8","chr1",247460714,247495148
"RP11-383G10.1","ENSG00000236108.1","chr1",205103774,205104078
"SNORD60","ENSG00000252692.1","chr1",206261008,206261093
"SNORA77","ENSG00000221643.1","chr1",203698709,203698833
"IBA57","ENSG00000181873.8","chr1",228353516,228369958
"RP4-781K5.8","ENSG00000227630.2","chr1",234859789,234867390
"COG2","ENSG00000135775.9","chr1",230778235,230829728
"RP11-435D7.3","ENSG00000232335.1","chr1",36204990,36209177
"TMEM79","ENSG00000163472.14","chr1",156252726,156262976
"RNU1-8P","ENSG00000207056.1","chr1",7279420,7279584
"RP11-108M9.2","ENSG00000230239.1","chr1",17181902,17185779
"LINC00568","ENSG00000228126.1","chr1",150488233,150490508
"RP11-278H7.1","ENSG00000226828.1","chr1",244080704,244210619
"FAM20B","ENSG00000116199.7","chr1",178994939,179045697
"UBR4","ENSG00000127481.10","chr1",19401000,19536770
"GAPDHP33","ENSG00000240244.3","chr1",120138790,120139802
"RNU6-41P","ENSG00000207472.1","chr1",182951347,182951453
"COL8A2","ENSG00000171812.6","chr1",36560837,36590821
"XX-CR54.1","ENSG00000229703.2","chr1",248855492,248862411
"AL606500.1","ENSG00000268141.1","chr1",154585067,154585190
"RP11-219C24.6","ENSG00000237700.1","chr1",13411551,13414482
"RP11-469A15.2","ENSG00000230623.2","chr1",200443048,200447421
"RP4-738P11.3","ENSG00000227777.1","chr1",168511975,168512592
"RP4-552O12.1","ENSG00000229486.2","chr1",84481548,84484054
"CLIC4","ENSG00000169504.10","chr1",25071848,25170815
"AC115286.1","ENSG00000221053.1","chr1",34641467,34641550
"RP11-378I13.1","ENSG00000229913.1","chr1",57289352,57292593
"C1orf52","ENSG00000162642.9","chr1",85715639,85725355
"RP1-35C21.1","ENSG00000224968.1","chr1",177320722,177335408
"RP5-1007M22.2","ENSG00000231999.2","chr1",90048800,90098453
"Y_RNA","ENSG00000199595.1","chr1",161669296,161669397
"OR10J8P","ENSG00000251686.1","chr1",159335951,159336879
"LEMD1","ENSG00000186007.5","chr1",205350506,205425082
"AL121988.1","ENSG00000216162.1","chr1",35244162,35244245
"RP13-221M14.3","ENSG00000229978.1","chr1",13162645,13165443
"RP11-403I13.5","ENSG00000232721.1","chr1",149230716,149232554
"CSDE1","ENSG00000009307.11","chr1",115259534,115301297
"RP11-98D18.1","ENSG00000227045.1","chr1",151673502,151680862
"RP11-182I10.3","ENSG00000226891.2","chr1",65437908,65468159
"ALG14","ENSG00000172339.9","chr1",95439963,95538501
"TSTD1","ENSG00000215845.6","chr1",161007421,161008780
"BLZF1","ENSG00000117475.9","chr1",169337208,169365778
"RNU6V","ENSG00000206832.1","chr1",110134156,110134262
"RP3-328E19.5","ENSG00000270656.1","chr1",147983307,147983593
